Date,Silver_Close,Silver_Open,Silver_High,Silver_Low,Gold,DXY,VIX,price,date,high,low
2010-02-01,16.7,16.17,16.7,16.07,1104.300048828125,79.23999786376953,22.59000015258789,16.7,2010-02-01,16.7,16.07
2010-02-02,16.7,16.64,16.81,16.52,1117.4000244140625,79.01000213623047,21.479999542236328,16.7,2010-02-02,16.81,16.52
2010-02-03,16.38,16.67,16.95,16.25,1111.4000244140625,79.37000274658203,21.600000381469727,16.38,2010-02-03,16.95,16.25
2010-02-04,15.29,16.35,16.41,15.16,1062.4000244140625,79.91999816894531,26.07999992370605,15.29,2010-02-04,16.41,15.16
2010-02-05,15.16,15.24,15.38,14.63,1052.199951171875,80.44000244140625,26.11000061035156,15.16,2010-02-05,15.38,14.63
2010-02-08,15.03,15.11,15.31,14.92,1065.699951171875,80.30000305175781,26.51000022888184,15.03,2010-02-08,15.31,14.92
2010-02-09,15.45,14.98,15.59,14.95,1076.699951171875,79.86000061035156,26.0,15.45,2010-02-09,15.59,14.95
2010-02-10,15.24,15.42,15.64,15.05,1075.800048828125,80.02999877929688,25.39999961853028,15.24,2010-02-10,15.64,15.05
2010-02-11,15.67,15.19,15.73,15.15,1094.199951171875,79.98999786376953,23.959999084472656,15.67,2010-02-11,15.73,15.15
2010-02-12,15.54,15.64,15.74,15.18,1089.5,80.31999969482422,22.729999542236328,15.54,2010-02-12,15.74,15.18
2010-02-15,15.54,15.51,15.63,15.34,1089.5,80.31999969482422,22.729999542236328,15.54,2010-02-15,15.63,15.34
2010-02-16,16.15,15.5,16.22,15.45,1119.300048828125,79.69999694824219,22.25,16.15,2010-02-16,16.22,15.45
2010-02-17,16.04,16.12,16.32,15.86,1119.5,80.37999725341797,21.71999931335449,16.04,2010-02-17,16.32,15.86
2010-02-18,16.2,15.85,16.27,15.65,1118.0,80.4000015258789,20.6299991607666,16.2,2010-02-18,16.27,15.65
2010-02-19,16.3,15.84,16.51,15.71,1121.300048828125,80.63999938964844,20.020000457763672,16.3,2010-02-19,16.51,15.71
2010-02-22,16.23,16.34,16.56,16.12,1112.5999755859375,80.51000213623047,19.940000534057617,16.23,2010-02-22,16.56,16.12
2010-02-23,15.86,16.21,16.42,15.77,1102.699951171875,80.8499984741211,21.3700008392334,15.86,2010-02-23,16.42,15.77
2010-02-24,15.94,15.82,16.01,15.62,1096.5,80.8499984741211,20.270000457763672,15.94,2010-02-24,16.01,15.62
