"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/02/2010","16.7000","16.1700","16.7000","16.0700","","3.15%"
"02/02/2010","16.7000","16.6400","16.8100","16.5200","","0.00%"
"03/02/2010","16.3800","16.6700","16.9500","16.2500","","-1.92%"
"04/02/2010","15.2900","16.3500","16.4100","15.1600","","-6.65%"
"05/02/2010","15.1600","15.2400","15.3800","14.6300","","-0.85%"
"08/02/2010","15.0300","15.1100","15.3100","14.9200","","-0.86%"
"09/02/2010","15.4500","14.9800","15.5900","14.9500","","2.79%"
"10/02/2010","15.2400","15.4200","15.6400","15.0500","","-1.36%"
"11/02/2010","15.6700","15.1900","15.7300","15.1500","","2.82%"
"12/02/2010","15.5400","15.6400","15.7400","15.1800","","-0.83%"
"15/02/2010","15.5400","15.5100","15.6300","15.3400","","0.00%"
"16/02/2010","16.1500","15.5000","16.2200","15.4500","","3.93%"
"17/02/2010","16.0400","16.1200","16.3200","15.8600","","-0.68%"
"18/02/2010","16.2000","15.8500","16.2700","15.6500","","1.00%"
"19/02/2010","16.3000","15.8400","16.5100","15.7100","","0.62%"
"22/02/2010","16.2300","16.3400","16.5600","16.1200","","-0.43%"
"23/02/2010","15.8600","16.2100","16.4200","15.7700","","-2.28%"
"24/02/2010","15.9400","15.8200","16.0100","15.6200","","0.50%"
"25/02/2010","16.0900","15.9500","16.1600","15.5800","","0.94%"
"26/02/2010","16.4800","16.0500","16.5200","16.0000","","2.42%"
"01/03/2010","16.4500","16.5600","16.7500","16.3900","","-0.18%"
"02/03/2010","16.9200","16.4400","17.0900","16.3000","","2.86%"
"03/03/2010","17.1800","16.9100","17.3500","16.8600","","1.54%"
"04/03/2010","17.1200","17.1800","17.3800","17.0300","","-0.35%"
"05/03/2010","17.3400","17.0900","17.4900","17.0900","","1.29%"
"08/03/2010","17.2300","17.3400","17.5200","17.0800","","-0.63%"
"09/03/2010","17.2300","17.2100","17.4100","16.8500","","0.00%"
"10/03/2010","16.9900","17.2300","17.6500","16.9000","","-1.39%"
"11/03/2010","17.1600","16.9800","17.1700","16.8000","","1.00%"
"12/03/2010","17.0900","17.1600","17.3400","16.9300","","-0.41%"
"15/03/2010","17.0800","17.0300","17.1700","16.9200","","-0.06%"
"16/03/2010","17.4400","17.0900","17.5100","17.0600","","2.11%"
"17/03/2010","17.5100","17.4100","17.6000","17.3200","","0.40%"
"18/03/2010","17.3900","17.4800","17.5600","17.3000","","-0.69%"
"19/03/2010","16.9800","17.3600","17.4700","16.9200","","-2.36%"
"22/03/2010","16.9600","16.9500","17.0000","16.5800","","-0.12%"
"23/03/2010","17.0100","16.9400","17.1400","16.7100","","0.29%"
"24/03/2010","16.5700","16.9800","17.0300","16.5300","","-2.59%"
"25/03/2010","16.6000","16.5400","16.8500","16.5200","","0.18%"
"26/03/2010","16.9000","16.5300","16.9900","16.5200","","1.81%"
"29/03/2010","17.3600","16.9100","17.4500","16.9100","","2.72%"
"30/03/2010","17.3000","17.3400","17.5000","17.2100","","-0.35%"
"31/03/2010","17.5000","17.2200","17.6500","17.2200","","1.16%"
"01/04/2010","17.9200","17.4500","18.0200","17.4300","","2.40%"
"02/04/2010","17.9000","17.7700","17.9000","17.7700","","-0.11%"
"05/04/2010","18.0700","17.8100","18.2000","17.7500","","0.95%"
"06/04/2010","17.9200","18.0400","18.1000","17.8300","","-0.83%"
"07/04/2010","18.1500","17.8900","18.2700","17.8900","","1.28%"
"08/04/2010","18.0800","18.1400","18.2100","17.8900","","-0.39%"
"09/04/2010","18.3900","18.0500","18.4600","18.0100","","1.71%"
"12/04/2010","18.2300","18.4300","18.6100","18.1200","","-0.87%"
"13/04/2010","18.2300","18.1800","18.3400","17.9200","","0.00%"
"14/04/2010","18.4400","18.1800","18.5300","18.1600","","1.15%"
"15/04/2010","18.4200","18.4000","18.5400","18.1900","","-0.11%"
"16/04/2010","17.7200","18.3800","18.4500","17.5100","","-3.80%"
"19/04/2010","17.7600","17.6400","17.8000","17.4500","","0.23%"
"20/04/2010","17.8500","17.7300","18.0900","17.6800","","0.51%"
"21/04/2010","18.0800","17.8200","18.1600","17.6700","","1.29%"
"22/04/2010","17.9900","18.0200","18.1700","17.7300","","-0.50%"
"23/04/2010","18.3200","17.9500","18.3500","17.8100","","1.83%"
"26/04/2010","18.3000","18.2500","18.4500","18.2200","","-0.11%"
"27/04/2010","18.1800","18.2500","18.4400","18.0500","","-0.66%"
"28/04/2010","18.1000","18.1500","18.2600","17.8100","","-0.44%"
"29/04/2010","18.4700","18.0500","18.5600","18.0500","","2.04%"
"30/04/2010","18.6400","18.4400","18.7900","18.4300","","0.92%"
"03/05/2010","18.8000","18.6100","18.8700","18.4800","","0.86%"
"04/05/2010","17.8800","18.7700","18.8200","17.7700","","-4.89%"
"05/05/2010","17.4800","17.8200","17.9100","17.0500","","-2.24%"
"06/05/2010","17.6600","17.4800","17.7700","17.2300","","1.03%"
"07/05/2010","18.3700","17.6000","18.6200","17.4500","","4.02%"
"10/05/2010","18.5000","18.4100","18.8000","18.1800","","0.71%"
"11/05/2010","19.3100","18.4300","19.4500","18.3500","","4.38%"
"12/05/2010","19.5300","19.2800","19.7300","19.0600","","1.14%"
"13/05/2010","19.4400","19.4300","19.8100","19.3200","","-0.46%"
"14/05/2010","19.2700","19.4100","19.7000","18.9400","","-0.87%"
"17/05/2010","18.9000","19.2500","19.5800","18.7500","","-1.92%"
"18/05/2010","18.9700","18.8600","19.1300","18.6200","","0.37%"
"19/05/2010","18.2000","18.9500","19.0000","17.9300","","-4.06%"
"20/05/2010","17.6400","18.1400","18.3400","17.4800","","-3.08%"
"21/05/2010","17.6600","17.5700","17.9100","17.3900","","0.11%"
"24/05/2010","17.8800","17.6100","18.0600","17.5800","","1.25%"
"25/05/2010","17.8800","17.8300","17.9500","17.5200","","0.00%"
"26/05/2010","18.0600","18.0400","18.4300","17.9500","","1.01%"
"27/05/2010","18.5000","17.9800","18.5900","17.9800","","2.44%"
"28/05/2010","18.4000","18.4100","18.6600","18.2100","","-0.54%"
"31/05/2010","18.5700","18.3500","18.6200","18.3000","","0.92%"
"01/06/2010","18.4200","18.4800","18.7100","18.1600","","-0.81%"
"02/06/2010","18.3400","18.3800","18.5300","18.0600","","-0.43%"
"03/06/2010","17.9700","18.3000","18.4600","17.8000","","-2.02%"
"04/06/2010","17.4200","17.9500","18.0300","17.2700","","-3.06%"
"07/06/2010","18.1500","17.4100","18.2000","17.1600","","4.19%"
"08/06/2010","18.2500","18.0800","18.5100","18.0200","","0.55%"
"09/06/2010","18.1200","18.2100","18.3900","18.0700","","-0.71%"
"10/06/2010","18.2400","18.0800","18.4400","17.8000","","0.66%"
"11/06/2010","18.2400","18.2000","18.5600","18.0500","","0.00%"
"14/06/2010","18.2200","18.2000","18.5900","18.1700","","-0.11%"
"15/06/2010","18.5500","18.1700","18.6900","18.1600","","1.81%"
"16/06/2010","18.4500","18.4800","18.6900","18.3700","","-0.54%"
"17/06/2010","18.7200","18.4100","18.9100","18.3000","","1.46%"
"18/06/2010","19.1700","18.7000","19.2900","18.6500","","2.40%"
"21/06/2010","18.7300","19.1500","19.4700","18.6400","","-2.30%"
"22/06/2010","18.8100","18.7000","18.9900","18.5600","","0.43%"
"23/06/2010","18.5100","18.7700","18.9900","18.3000","","-1.59%"
"24/06/2010","18.6800","18.4700","18.8200","18.1700","","0.92%"
